1910Conservative	48	33	63	28	6	75	30	57	38	26	63	28	55	25	13	183	34	57	34	9	22	33	56	7	58	18	34	37	6	7	81	34	36	51	15	12	63	20	19	20	26	3	32	32	22	65	40	27	16	14	52	102	27	39	21	8	15	15	6	23	27	28	41	66	30	36	29	20	44	30	48	11	5	30	20	47	5	80	25	34	5	15	17	12	9	12	65	5	1	2	6	21	42	58	43	27	5	14	16	8	55	30	48	40	22	42	5	40	5	25	42	4	72	61	13	20	31	15	32	5	24	120	45	24	12	10	19	9	9	9	7	15	140	127	21	37	11	35	7	23	21	69	18	30	11	5	71	11	36	4	2	12	34	8	60	13	54	12	12	6	11	24	12	23	2	7	11	13	39	4	23	23	13	20	31	40	11	15	19	8	24	19	33	42	4	37	17	6	45	19	75	50	25	26	45	22	25	52	14	26	69	6	20	21	33	20	25	22	3	10	48	43	90	9	35	17	72	15	56	90	35	32	12	19	45	90	17	50	39	6	20	5	4	97	57	22	22	33	30	80	24	3	13	4	12	19	8	44	8	31	6	38	28	29	10	14	7	76	23	18	26	20	13	41	29																																																																																																																																																																																																																																																																																																					
1911Conservative	39	35	40	37	22	44	29	8	39	45	10	9	11	59	60	26	75	21	11	59	20	5	33	12	48	12	36	24	12	19	7	39	12	24	12	41	10	34	30	11	4	14	5	6	33	37	29	21	32	21	17	22	6	24	22	29	11	24	21	25	13	23	3	25	43	5	45	77	56	48	58	58	20	1	11	22	24	41	12	32	6	10	46	15	60	18	6	1	80	12	3	24	17	23	16	11	16	14	16	28	33	6	12	65	4	16	37	26	32	9	10	9	45	61	7	7	9	17	15	53	50	10	21	12	3	24	11	29	39	34	11	1	25	18	33	16	15	5	69	11	5	28	30	26	59	47	7	8	20	45	17	61	27	10	31	11	32	32	30	21	10	29	26	13	27	43	16	11	35	36	8	18	17	30	14	19	61	7	10	18	6	5	15	29	13	51	4	4	21	18	11	4	120	7	44	45	39	12	18	5	47	43	14	41	25	54	13	16	11	23	17	32	51	28	21	19	44	20	5	39	24	21	21	27	33	19	44	35	35	34	17	25	17	14	25	20	18	23	16	11	92	13	7	54	24	19	26	32	8	6	3	24	15	9	25	4	20	5	7	15	26	23																																																																																																																																																																																																																																																																																																								
1912Liberal	29	49	16	15	14	95	29	26	42	21	26	29	39	96	37	43	88	16	85	25	62	26	35	25	42	56	25	51	25	37	15	15	5	22	23	37	27	51	26	9	16	32	54	106	16	71	15	15	19	17	25	38	62	41	6	6	60	7	55	8	50	11	26	36	25	21	80	18	16	7	8	34	29	121	25	12	4	31	54	21	22	45	8	47	62	12	14	43	18	38	45	32	21	5	54	21	33	17	42	8	45	42	6	17	12	25	22	23	30	33	56	38	21	14	82	30	30	17	40	16	17	13	29	48	7	9	42	8	12	13	56	18	23	89	99	23	7	8	29	44	5	31	68	74	8	16	25	62	77	106	24	5	1	5	1	6	9	79	28	41	18	7	70	12	14	46	75	67	12	25	42	53																																																																																																																																																																																																																																																																																																																																																																																																		
1912Conservative	5	20	41	23	35	59	9	33	42	14	26	11	61	9	5	24	28	59	19	8	22	35	86	6	17	28	37	46	13	19	48	7	53	26	33	16	25	10	9	53	14	17	26	11	25	40	35	9	61	23	41	7	14	43	31	34	6	21	26	8	7	21	25	11	8	15	5	26	36	32	12	29	6	12	14	24	24	11	33	36	5	13	26	16	18	8	4	21	23	9	14	7	7	57	54	6	39	8	20	13	23	54	43	17	23	8	17	19	8	34	31	3	8	17	8	41	3	20	32	30	7	19	40	7	8	19	5	14	60	20	25	21	35	14	28	4	33	36	5	31	25	5	32	16	5	35	7	7	6	17	14	4	10	14	92	5	8	17	37	6	30	6	21	5	28	6	69	16	21	4	19	41	37	44	17	44	30	25	9	55	44	39	44	12	12	18	39	25	19	4	30	15	32	6	1	16	3	5	26	59	4	25	4	8	7	86	29	21	15	52	39	15	54	22	21	39	19	58	15	15	5	17	7	14	13	38	6	22	47	17	4	19	26																																																																																																																																																																																																																																																																																																																																					
1913Conservative	32	20	45	48	18	16	5	16	21	5	32	22	58	40	33	12	36	18	46	26	16	70	31	25	67	26	25	16	31	15	12	19	6	106	39	27	12	58	11	15	30	55	33	22	23	10	25	8	9	5	7	17	9	26	33	28	18	29	21	11	43	3	28	7	31	25	11	10	29	13	69	4	9	10	8	12	18	28	15	49	22	23	54	28	10	19	9	36	4	71	29	37	16	14	12	28	65	6	50	26	43	18	10	6	21	12	48	21	37	6	11	5	12	49	78	6	15	37	10	36	8	37	4	5	11	35	8	5	49	6	6	14	17	34	18	4	85	11	11	11	17	18	31	28	18	8	11	4	9	32	10	21	5	30	49	3	48	26	42	10	44	35	37	45	21	38	49	42	24	60	28	11	21	31	9	20	8	9	10	65	70	60	41	41	41	19	6	8	7	43	6	15	46	25	10	56	23	20	25	38	6	35	5	34	11	73	7	29	7	10	5	18	6	18	13	28	34	6	12	1	15	25	10	26	16	34	17	11	11	44	10	11	30	24	17	41																																																																																																																																																																																																																																																																																																																																		
1913Liberal	54	34	35	19	35	26	36	33	57	23	26	10	23	63	25	42	16	17	14	73	33	45	17	51	23	4	23	23	70	44	38	7	51	38	29	16	51	32	49	31	54	22	48	44	9	35	49	13	21	67	29	6	27	10	50	3	56	13	65	18	18	68	7	78	34	10	29	13	16	19	17	60	19	64	29	20	82	31	60	3	6	119	54	63	10	3	25	48	13	14	82	10	14	33	5	59	4	89	48	95	33	47	22	18	42	23	20	75	49	53	62	29	5	48	66	30	105	56	47	42	17	20	17	93	87	80	30	51	24	33	22	38	31	8	33	6	10	45	25	5	51	16	31	25	39	17	35	26	16	17	20	41	7	47	21	19																																																																																																																																																																																																																																																																																																																																																																																																																		
1918Liberal	66	22	16	26	23	21	56	64	29	32	82	21	41	35	33	28	45	44	20	13	24	21	18	37	24	9	29	21	52	69	34	11	60	32	40	17	9	66	14	48	16	15	26	11	9	54	23	6	22	28	41	10	31	13	29	23	9	19	32	7	77	42	14	42	19	47	22	17	17	43	10	39	97	43	55	25	27	22	30	17	27	18	6	5	26	20	26	4	30	21	25	52	37	27	46	20	23	50	41	50	41	19	5	48	18	9	62	7	18	12	16	37	10	15	3	45	15	61	34	27	22	20	63	13	4	19	12	25	12	43	14	49	24	10	37	9	29	26	6	6	64	31	63	33	19	43	65	34	34	27	24	40	40	27	69	22	29	41	7	13	25	26	22	26	34	36	23	28	34	14	39	44	21	42	14	29	74	32	30	5	14	5	38	14	12	25	49	17	24	37	32	31	38	47	38	30	52	26	32	68	34	24	30	31	31	33	4	16	8	24	57	21	10	34	45	11	57	12	46	30	37	66	20	3	41	19	47	91	37	58	24	23	16	18	25	13	48	39	26	14	49	16	35																																																																																																																																																																																																																																																																																																																											
1919Liberal	23	28	12	40	51	4	26	30	22	13	22	73	70	12	39	20	79	23	64	53	13	26	19	12	41	67	29	27	22	62	43	10	43	10	14	28	21	97	6	24	36	31	18	34	9	33	40	27	13	36	36	6	49	51	61	27	21	25	51	22	10	23	24	75	42	7	58	20	13	54	2	16	53	14	13	19	26	8	2	18	20	52	9	31	41	30	17	15	78	53	16	10	5	10	19	42	6	12	8	54	17	28	10	54	10	4	17	53	17	20	33	22	21	51	12	40	9	24	14	33	55	54	29	7	39	35	15	15	7	3	29	30	40	8	118	26	37	32	37	9	2	24	45	32	47	26	27	45	9	34	22	1	8	81	44	19	32	38	31	41	16	77	87	44	44	42	24	75	16	32	31	8	3	35	9	5	51	13	50	36	37	22	27																																																																																																																																																																																																																																																																																																																																																																																							
1920Liberal	27	14	30	65	47	39	5	11	42	25	31	19	27	67	16	38	28	28	38	69	9	47	4	28	34	6	55	72	5	15	44	6	49	88	21	38	42	50	79	16	25	11	12	22	6	11	26	52	29	6	3	6	31	22	19	29	22	29	10	18	49	18	21	7	14	6	35	31	27	14	48	24	9	150	16	5	23	42	19	3	2	13	32	2	3	16	10	74	61	49	22	28	12	12	60	44	41	14	20	2	4	6	31	57	9	23	83	4	65	60	21	7	21	46	25	9	25	65	40	29	29	12	66	13	30	5	22	31	53	41	12	64	9	8	38	39	57	36	8	16	22	15	12	28	31	24	23	11	26	22	15	3	30	4	4	5	38	3	9	36	49	39	18	101	14	10	6	55	38	25	8	9	53	52	68	4	20	11	9	44	58	11	26	32	5	14	38	30																																																																																																																																																																																																																																																																																																																																																																																		
1920Conservative	31	44	33	31	56	10	53	99	23	22	50	28	28	23	21	27	12	28	8	3	20	58	6	30	48	4	25	71	31	18	17	4	57	7	5	17	34	4	16	46	13	8	8	8	40	66	17	26	28	27	20	10	24	4	32	8	5	9	33	6	45	25	23	13	21	13	7	6	12	25	2	8	27	5	11	30	24	8	11	38	4	13	5	60	9	13	5	19	13	30	9	28	9	16	22	3	19	14	39	7	49	18	42	33	7	7	2	23	11	5	3	9	12	20	51	14	14	4	9	7	25	8	6	11	24	13	6	28	24	4	23	8	16	25	40	13	7	21	15	12	5	46	5	5	15	9	26	5	5	45	32	6	22	27	4	65	23	7	13	12	10	11	5	15	37	4	7	26	8	39	3	6	20	58	7	18	13	41	34	29	54	5	11	20	8	24	14	5	57	102	8	10	21	6	22	30	6	22	12	6	25	48	15	43	34	62	30	5	7	24	22	9	28	9	54	31	13	5	16	11	40	5	14	41	40	18	18	8	23	30	4	6	17	4	13	22	23	33	10	10	4	23	7	21	18	30	7	32	13	21	53	36	6	13	12	20	19	32	31	40	46	30	55	8	7	22	28	5	19	35	9	13	10	9	23	26	8	14	42	4	11	44	7	21	37	24	10	3	23	26	4	36	36	7	6	14	37	9	5	17	9	19	3	5	9	9	61	42	46	19	23	3	38																																																																																																																																																																																																																																																					
1921Liberal	60	12	55	45	17	17	7	3	14	13	27	19	13	22	9	31	44	22	17	6	10	37	25	35	49	37	3	57	23	20	7	4	44	36	30	20	17	10	17	12	8	7	5	6	5	17	115	14	9	23	57	38	28	52	40	35	13	12	24	39	22	8	43	50	35	42	36	72	19	27	4	55	5	35	12	61	18	6	16	75	37	24	27	10	28	7	31	20	4	29	3	13	29	14	16	26	29	18	12	96	8	8	12	5	8	12	6	11	28	50	76	21	11	21	10	11	24	30	9	12	57	49	15	21	44	30	33	16	10	40	22	15	19	15	42	15	22	7	23	8	48	7	3	5	17	5	8	49	5	29	26	16	61	7	41	7	76	21	4	21	63	58	22	39																																																																																																																																																																																																																																																																																																																																																																																																										
