¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
36			68	9	114			11	29	50			50	34	31		40	32	8		16	14	33	27	19	12	27	15	35		57	41	6	21	37	21	12	12	6		24	15	12	11	20	12	4	31	22	25	17	16	15	14	19	11	47	10	8
37			53	21	22			8	15	189			53	29	32		14	37	12		15	9	64	8	14	7	17	33	14		30	12	16	26	34	35	47	23	31		38	9	15	26	9	13	20	8	31	37	32	9	13	9	8	24	27	15	6
38				34	25			60	24	77			59	17	9		23	47	12		32	58	38	28	73	15	25	47	14		44	9	11	13	23	15	43	13	11		29	17	27	4	9	10	7	37	8	42	11	20	23	8	31	4	19	29	16
39				59	123			32	24	26			41	31	26		10	64	29		38	48	30	29	47	23	20	32	22		56	9	20	37	24	16	27	7	4		13	8	12	20	14	26	16	37	12	11	15	14	8	13	11	19	36	27	20
40				36	19			20	26	31			83	71	8		14	29	22		47	18	20	9	28	29	29	40	9		63	33	13	74	20	5	22	9	8		12	23	5	19	30	5	16	31	11	23	10	9	9	13	23	18	22	19	15
41				30	73			7	53	47			29	80	17		17	41	35			37	24	22	26	47	42	55	15		27	7	16	7	24	65	24	18	7		22	40	6	14	15	22	9	15	12	15	8	5	12	7	38	10	21	27	13
42					28			11	17	22			78	23	40		30	10	54			20	58	21	32	10	16	29	4		72	190	209	26	26	26	18	25	6		13	44	18	61	18	9	16	15	23	13	7	15	15	20	22	28	19	19	8
43					51			19	21	25			45	19	28		14	15	48			60	23	17	49	28	31	17	22		21	36	28	24	9	9	27	19	8		30	8	8	27	10	38	31	21	39	21	15	27	10	18	15	21	23	14	32
44					26			6	50	18			59	21	10		25	8	42				49	33	49	11	18	33	26		50	47	6	20	19	13	21	27	44		18	14	11	7	17	29	16	33	22	47	35	17	4	20	25	21	26	25	4
45					110			35	76	37			19	70	13		29	27	27				57	4		11	10	26	28		56	5	14	48	16	22	6	44	25		21	21	33	25	16	6	25	19	17	28	20	20	6	14	11	19	12	11	5
46								10	38	26			12	16	9		13	24	24				57	23		17	33	51	42		19	9	9	22	38	15	58	11	45		45	13	20	9	17	38	23	22	22	25	11	20	14	18	16	18	10	11	22
47								10	39	23			24	24	19		14	8	52				66	28		35	36	28	21		7	5	17	45	9	33	6	5	14		9	28	23	19	14	12	21	19	14	13	24	8	21	21	31	5	20	21	20
48								18	31	18			16	51	15		37	31	42				34	13		23	38	26	40		18	50	47	26	16	25	27	8	39		7	25	30	31	6	9	11	16	50	29	16	19	20	11	16	5	20	21	6
49								44	51	36			100	28	11		33	48	46				19	5		15	49	48	33		98	19	31	48	7	48	21	21	10		11	35	21	21	8	22	20	18	21	23	48	37	4	16	20	21	14	8	11
50								16	67	41			24	66	20		22	37	15				53	33		21	38	49	7		8	13	45	43	30	24	23	4	19		23	15	27	25	15	26	27	137	20	33	13	16	19	30	10	4	12	19	11
51								10	19	39			19	22	26		34	50	23				62	15		39	62	75	8		45	31	7	31	17	16	12	6	6		4	5	10	28	4	24	71	35	29	28	9	30	17	8	16	28	16	8	9
52								24	18	48			58	20	15		108	46	61				19	48		41	43	31	5		33	27	10	35	22	43	23	7	9		18	7	31	45	14	42	23	31	20	21	17	19	20	6	30	28	19	6	11
53								11	19	46			82	29	17		34	25	45				19	14		51	42	6	4		69	36	24	11	23	28	15	14	15		31	8	29		20	28	45		14	54	7	25	12	11	36	38	21	6	11
54								13	25	31			26	23	28		20	25	12				23	18		81	53	10	3		40	29	20	7	38	16	37	10	29		12	10	33		9	11	18		17	31	7	13	21	15	24	10	17	13	5
55								16	23	131			42	48	52		31	49	35				20	18		22	33	48	4		39	5	38	6	18	10	6	8	18		17	16	14		5	12	8		15	16	11	12	9	6	12	8	36	20	7
56								21	20	206			46	38	20		48	68	25				51	32		17	43	8	21		38	72	33	65	28	5	5	9	11		31	35	17		19	20	28		17	52	19	29	10	18	12	42	17	21	15
57								9	45	23			80	29	24		63	14	29				36	42		31	36	66	27		13	9	38	39	48	3	10	8	15		26	9	25		9	22	20		10	20	12	15	10	18	13	16	34	11	12
